County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Homa Bay,Rachuonyo North,Kendu Sub District Hospital,"13,668",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Suba South,Nyadenda Health Centre,"13,870",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,GodBer Health Center,"13,584",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo South,Nyabola Dispensary,"13,863",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Nyandiwa Dispensary,"13,920",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Nyawango Dispensary,"18,051",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Miriu Health Centre,"13,812",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Tom Mboya Memorial SCH,"14,150",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Suba North,Kolunga Dispensary,"13,642",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Kandiege SCH,"13,653",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Nyamasi Dispensary,"13,902",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba South,Malongo Dispensary,"20,379",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kadhola Dispensary,"16,769",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba West,Sena Health Centre,"14,075",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Suba North,Kitare Health Centre,"13,705",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Gongo Dispensary,"13,587",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Obanga Health Centre,"13,951",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba West,Ugina Health Centre,"14,155",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Atemo Health Centre,"13,489",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Tonga Health Centre,"14,152",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Ogande Dispensary,"13,962",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rangwe,Nyagoro Health Center,"13,875",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Kasewe Dispensary,"20,153",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba West,Ringiti Dispensary,"17,710",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Nyalgosi Dispensary,"13,889",Yes,Level 3,HOMA BAY CHMT
